date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:45:24	5807/5807	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20May%202022%2016:20:44%20GMT	https://gico.io/wowhair/images/blog/b-2.jpg	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/images/blog/b-2.jpg	(from https://gico.io/wowhair/)
07:45:24	85580/85580	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2001%20May%202017%2011:08:08%20GMT	https://gico.io/wowhair/js/jquery.min.js	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/js/jquery.min.js	(from https://gico.io/wowhair/)
07:45:25	79748/79748	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2015%20May%202022%2014:55:52%20GMT	https://gico.io/wowhair/js/bootstrap.min.js	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/js/bootstrap.min.js	(from https://gico.io/wowhair/)
07:45:25	9727/9727	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2028%20Feb%202019%2016:05:40%20GMT	https://gico.io/wowhair/js/stellarnav.min.js	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/js/stellarnav.min.js	(from https://gico.io/wowhair/)
07:45:25	27629/27629	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2025%20May%202022%2020:28:36%20GMT	https://gico.io/wowhair/js/jquery.pogo-slider.min.js	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/js/jquery.pogo-slider.min.js	(from https://gico.io/wowhair/)
07:45:26	14243/14243	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2008%20Jul%202018%2000:40:38%20GMT	https://gico.io/wowhair/js/aos.js	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/js/aos.js	(from https://gico.io/wowhair/)
07:45:26	14848/14848	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2018%20Apr%202018%2014:05:46%20GMT	https://gico.io/wowhair/js/jarallax.min.js	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/js/jarallax.min.js	(from https://gico.io/wowhair/)
07:45:26	23375/23375	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2016%20May%202022%2016:20:08%20GMT	https://gico.io/wowhair/js/particles.js	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/js/particles.js	(from https://gico.io/wowhair/)
07:45:27	2132/2132	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2026%20May%202022%2017:59:06%20GMT	https://gico.io/wowhair/js/app.js	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/js/app.js	(from https://gico.io/wowhair/)
07:45:27	40782/40782	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2020%20Jan%202018%2007:52:38%20GMT	https://gico.io/wowhair/js/owl.carousel.min.js	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/js/owl.carousel.min.js	(from https://gico.io/wowhair/)
